"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1911853",-0.10327705973889,6.86610765169643,-3.3633795696539,0.0013869977491474,0.902166616022769,-1.09868658822379
"ILMN_1896790",-0.0964565056166666,6.79245731716071,-3.36275625579951,0.0013896052098241,0.902166616022769,-1.10020357566565
"ILMN_2153679",-0.181506894744444,7.24137314971429,-3.36254483303599,0.00139049069165174,0.902166616022769,-1.10071808546218
"ILMN_1815062",0.124566653133331,6.82678250332143,3.34683486571313,0.00145780215960167,0.902166616022769,-1.13889316962139
"ILMN_1872550",-0.133849158933334,6.85265961453571,-3.33925753412865,0.00149135940593973,0.902166616022769,-1.15726634576414
"ILMN_2204332",-0.131201965388888,6.91831817635714,-3.33839653482223,0.0014952183487169,0.902166616022769,-1.15935241941659
"ILMN_1723320",0.117317623550004,6.90666848701786,3.33654665237778,0.00150354136352796,0.902166616022769,-1.16383327726759
"ILMN_1889942",-0.0955557023999996,6.94563483117857,-3.32665971632357,0.00154877263529686,0.902166616022769,-1.18775553757899
"ILMN_1782350",0.127880595883333,7.10729206455357,3.32165165135913,0.0015721716502838,0.902166616022769,-1.19985604208114
"ILMN_1671045",0.111157148988889,6.81150644489286,3.3151834174396,0.00160288760706734,0.902166616022769,-1.21546772073492
"ILMN_1813801",0.296852011905555,9.329999956625,3.31500719614017,0.00160373231822913,0.902166616022769,-1.21589278020975
"ILMN_2150294",-0.424366325549999,9.83845017276786,-3.30921737777432,0.0016317206966293,0.902166616022769,-1.22985038564655
"ILMN_1790650",-0.267442533455558,10.5713931307857,-3.30563322544901,0.00164927729117948,0.902166616022769,-1.23848307638267
"ILMN_1851020",0.133187585338888,7.020038613375,3.30348432352024,0.00165988885698704,0.902166616022769,-1.24365604138364
"ILMN_1695288",-0.16291744867778,6.87521807592857,-3.30037217961762,0.00167537140974518,0.902166616022769,-1.25114402607348
"ILMN_1661610",-0.100893553449999,6.81188940605357,-3.29603634466779,0.00169716914944726,0.902166616022769,-1.26156886307923
"ILMN_1731742",-0.145444291555558,7.28015344321429,-3.29142547773472,0.00172064320580605,0.902166616022769,-1.27264548505672
"ILMN_1653202",0.105793413655556,6.82496776496429,3.29138560956133,0.00172084750597433,0.902166616022769,-1.27274121712733
"ILMN_1798454",0.240739061638889,8.63973493066071,3.28196103738599,0.00176979048288561,0.902166616022769,-1.29535106677051
"ILMN_2110751",-0.479638435727781,10.5965907411964,-3.27990337552702,0.001780649479978,0.902166616022769,-1.30028200399184
"ILMN_1808956",0.0942280157611091,6.78635364741071,3.27904267660758,0.00178521030965757,0.902166616022769,-1.3023439832326
"ILMN_1694131",0.113868177072221,6.838477601875,3.27108813369212,0.00182788608909438,0.902166616022769,-1.32138445333264
"ILMN_1886906",0.117620324505555,6.83863631619643,3.26913444415291,0.00183851377620374,0.902166616022769,-1.32605642767573
"ILMN_1773914",-0.101869914449998,6.75144916219643,-3.26874210923313,0.00184065501599026,0.902166616022769,-1.32699442759326
"ILMN_1702073",0.151644336422222,7.20118110710714,3.26375983087288,0.00186805209370494,0.902166616022769,-1.33889989812484
"ILMN_2077130",-0.16105233183333,14.2658462358929,-3.25958933969682,0.00189128041897844,0.902166616022769,-1.34885665693295
"ILMN_1859435",-0.116859771966667,6.87756135907143,-3.25585865337266,0.00191228966329981,0.902166616022769,-1.35775653133014
"ILMN_1676402",0.0857438244888868,6.80309051682143,3.24411133472466,0.00197989037527981,0.902166616022769,-1.38573821674004
"ILMN_1742548",-0.102125509727779,6.86099407394643,-3.24367513735192,0.00198244334826367,0.902166616022769,-1.38677597641691
"ILMN_1781890",0.0990191490444445,6.83357603835714,3.23775610711034,0.00201739422690776,0.902166616022769,-1.40084912986568
"ILMN_2241775",-0.233927886549999,9.44673566048214,-3.23479393891058,0.00203510247457745,0.902166616022769,-1.4078858206261
"ILMN_2276758",-0.315683481072227,10.7947567118393,-3.23328059745455,0.00204420584030374,0.902166616022769,-1.41147919710773
"ILMN_1834635",0.0867569435388891,6.80014207930357,3.22863313233833,0.00207240254341011,0.902166616022769,-1.4225076817426
"ILMN_2385318",0.118884947194448,6.92809407801786,3.22771817795755,0.00207799664974648,0.902166616022769,-1.42467767573062
"ILMN_2231845",-0.108610831944445,6.80064733785714,-3.22644305300749,0.0020858165867722,0.902166616022769,-1.4277012244615
"ILMN_1712912",-0.116965004038887,6.89695439516071,-3.22600151611399,0.00208853084457289,0.902166616022769,-1.42874800787038
"ILMN_1708421",-0.101063388044444,6.85910899178571,-3.21931160804858,0.00213006472078026,0.902166616022769,-1.44459695563529
"ILMN_1670931",-0.179870786577775,8.78132517864286,-3.21677217030943,0.00214603326653929,0.902166616022769,-1.4506075357762
"ILMN_1846419",-0.0965193466222241,6.84679309425,-3.20944902750778,0.00219271601972278,0.902166616022769,-1.46792347087759
"ILMN_1693404",0.119225945449996,7.04723989430357,3.2090722606328,0.00219514344770798,0.902166616022769,-1.46881366433079
"ILMN_1689836",-0.290486787722227,11.2012592283929,-3.20901704582064,0.00219549939720694,0.902166616022769,-1.46894411561579
"ILMN_1655827",0.1767047474,7.53213803960714,3.20701843339173,0.00220842033057374,0.902166616022769,-1.4736650867925
"ILMN_1909743",-0.122092707611111,6.97263097367857,-3.20072333365626,0.00224958690491902,0.902166616022769,-1.4885224369088
"ILMN_1878873",-0.105249233738888,6.80751003708929,-3.2006082500147,0.00225034616521237,0.902166616022769,-1.48879387479189
"ILMN_1670542",0.324971374722223,8.66784449978571,3.19970156131688,0.002256336446861,0.902166616022769,-1.49093218187286
"ILMN_1793563",-0.167830504499999,7.59792649085714,-3.19811137272424,0.00226687868334322,0.902166616022769,-1.49468148455056
"ILMN_1727778",-0.10487234855556,6.85282156435714,-3.19695853797338,0.00227455040418103,0.902166616022769,-1.49739884962053
"ILMN_2130514",-0.214029590288886,7.983515555,-3.19321309791435,0.00229964387328539,0.902166616022769,-1.50622289119244
"ILMN_1748105",-0.22277151166667,7.30461464625,-3.19228302443344,0.00230591534172609,0.902166616022769,-1.50841304842169
"ILMN_1761031",-0.137999771827778,7.34391860973214,-3.19112260508365,0.00231376257535141,0.902166616022769,-1.5111450471209
"ILMN_1655809",0.100545717677775,6.89157702735714,3.18984492279292,0.00232243182548894,0.902166616022769,-1.51415237264652
"ILMN_1907732",0.120078610533334,6.82041644721429,3.1895097881825,0.00232471080987648,0.902166616022769,-1.51494106092863
"ILMN_1869160",-0.104049341238891,6.806283078125,-3.1876602958555,0.00233732559880645,0.902166616022769,-1.51929258895453
"ILMN_1789224",0.100024449061113,6.81510229291071,3.18395799148735,0.00236277138000571,0.902166616022769,-1.52799851430889
"ILMN_2090351",0.214679971594441,7.22109106073214,3.18038430090318,0.00238757995823591,0.902166616022769,-1.53639574720446
"ILMN_1887484",-0.08715394207222,6.83257345158929,-3.1773553347872,0.00240879849918156,0.902166616022769,-1.54350820051723
"ILMN_1898149",0.0957667849333328,6.81567808035714,3.17658813080205,0.00241420097627162,0.902166616022769,-1.54530900447841
"ILMN_2384785",0.101813694272225,6.96264461319643,3.17306161614483,0.0024391806442953,0.902166616022769,-1.55358288760769
"ILMN_1700475",0.115882278761109,6.90223945801786,3.17013056405852,0.00246012697584601,0.902166616022769,-1.56045512545036
"ILMN_1681221",-0.107877949305558,6.80013074001786,-3.17005941271663,0.00246063754271628,0.902166616022769,-1.56062189746647
"ILMN_1736190",-0.101541976766668,6.85223867471429,-3.16984698146011,0.00246216249637607,0.902166616022769,-1.56111980165966
"ILMN_1756130",0.107811899066666,6.862955142,3.16918551953557,0.00246691653741412,0.902166616022769,-1.56267002052129
"ILMN_1698136",-0.129105491872224,6.77971027673214,-3.16886704793327,0.00246920852129978,0.902166616022769,-1.56341632304887
"ILMN_1679754",0.0933201330499998,6.89828119319643,3.1672590662824,0.00248081145510622,0.902166616022769,-1.56718369769597
"ILMN_1775167",0.107672191422221,6.83108131835714,3.16249574870794,0.00251548400157469,0.902166616022769,-1.57833641977276
